Year,Month,Cases_Monthly,Date,YearMonth,MoM,YoY,MA_3,MA_12,STD_12,Seasonality_vs_MonthAvg,Is_Peak_Top10pct,Cases_Index_2018Start,Is_Partial_Year
2021,1,3187.0,2021-01-01,2021-01,0.0012566760917374076,0.1394351090454058,3128.0,2672.5833333333335,399.06081977411384,0.3134820462624286,1,105.00823723228996,0
2021,2,2417.0,2021-02-01,2021-02,-0.24160652651396297,0.11228716060745514,2929.0,2692.9166666666665,376.89194456606236,0.26016684045881133,0,79.63756177924218,0
2021,3,4017.0,2021-03-01,2021-03,0.661977658254034,0.5152772538664654,3207.0,2806.75,535.8482018767494,0.48003500207249106,1,132.35584843492586,0
2021,4,2808.0,2021-04-01,2021-04,-0.30097087378640774,0.035780154924382135,3080.6666666666665,2814.8333333333335,535.0034551007096,0.11694510739856812,0,92.52059308072488,0
2021,5,2406.0,2021-05-01,2021-05,-0.1431623931623932,-0.1896261367463793,3077.0,2767.9166666666665,544.8501809644279,0.013372643992839883,0,79.27512355848435,0
2021,6,2979.0,2021-06-01,2021-06,0.23815461346633415,0.08366678792288096,2731.0,2787.0833333333335,548.1596413675878,0.30002181976871056,0,98.15485996705107,0
2021,7,2588.0,2021-07-01,2021-07,-0.13125209801946958,-0.03288490284005974,2657.6666666666665,2779.75,550.3650234988677,0.09528415961305936,0,85.27182866556838,0
2021,8,2414.0,2021-08-01,2021-08,-0.06723338485316843,0.055069930069929995,2660.3333333333335,2790.25,541.256975600651,0.06956136464333196,0,79.53871499176277,0
2021,9,1812.0,2021-09-01,2021-09,-0.24937862468931238,-0.2968568102444703,2271.3333333333335,2726.5,609.4169344545654,-0.06411864531837963,0,59.703459637561785,0
2021,10,1881.0,2021-10-01,2021-10,0.038079470198675525,-0.006339144215530945,2035.6666666666667,2725.5,610.9169709989612,-0.03169583762317996,0,61.97693574958814,0
2021,11,2137.0,2021-11-01,2021-11,0.13609782030834672,-0.2909754479097545,1943.3333333333333,2652.4166666666665,625.5485532108939,-0.14831473468458212,0,70.41186161449752,0
2021,12,2336.0,2021-12-01,2021-12,0.0931211979410389,-0.26610116242538484,2118.0,2581.8333333333335,607.7707153394631,-0.060985414034684715,0,76.96869851729818,0
2022,1,2044.0,2022-01-01,2022-01,-0.125,-0.35864449325384373,2172.3333333333335,2486.5833333333335,593.7098247971027,-0.15759105661738193,0,67.34761120263592,0
2022,2,1750.0,2022-02-01,2022-02,-0.14383561643835618,-0.2759619362846504,2043.3333333333333,2431.0,630.8755820286598,-0.08759124087591241,0,57.66062602965404,0
2022,3,2067.0,2022-03-01,2022-03,0.18114285714285705,-0.4854368932038835,1953.6666666666667,2268.5,390.6019829582402,-0.23842859116658222,0,68.10543657331137,0
2022,4,2497.0,2022-04-01,2022-04,0.20803096274794397,-0.11075498575498577,2104.6666666666665,2242.5833333333335,360.72665509630696,-0.00676213206046139,0,82.27347611202636,0
2022,5,2349.0,2022-05-01,2022-05,-0.05927112535042045,-0.023690773067331694,2304.3333333333335,2237.8333333333335,358.74904708985514,-0.010634937348636408,0,77.39703459637562,0
2022,6,1694.0,2022-06-01,2022-06,-0.2788420604512558,-0.43135280295401146,2180.0,2130.75,305.18760995939465,-0.26074623608989744,0,55.81548599670511,0
2022,7,1796.0,2022-07-01,2022-07,0.06021251475796929,-0.3060278207109737,1946.3333333333333,2064.75,282.07707682959204,-0.2399032648125755,0,59.17627677100494,0
2022,8,1895.0,2022-08-01,2022-08,0.05512249443207118,-0.2149958574979287,1795.0,2021.5,262.78836974403487,-0.16038989809481607,0,62.43822075782537,0
2022,9,1284.0,2022-09-01,2022-09,-0.32242744063324535,-0.29139072847682124,1658.3333333333333,1977.5,335.2636682862126,-0.33682579502693133,0,42.306425041186166,0
2022,10,1407.0,2022-10-01,2022-10,0.09579439252336441,-0.251993620414673,1528.6666666666667,1938.0,373.4183615293616,-0.2757023091631122,0,46.35914332784184,0
2022,11,1696.0,2022-11-01,2022-11,0.20540156361051887,-0.20636406176883482,1462.3333333333333,1901.25,373.75371691675684,-0.3240719653837395,0,55.881383855024716,0
2022,12,1353.0,2022-12-01,2022-12,-0.20224056603773588,-0.420804794520548,1485.3333333333333,1819.3333333333333,377.5105858439505,-0.45612725393361664,0,44.57990115321252,0
2023,1,1024.0,2023-01-01,2023-01,-0.24316334072431633,-0.4990215264187867,1357.6666666666667,1734.3333333333333,433.06903361795355,-0.5779712534130133,0,33.73970345963756,0
2023,2,1504.0,2023-02-01,2023-02,0.46875,-0.14057142857142857,1293.6666666666667,1713.8333333333333,438.0537188588414,-0.21584984358706982,0,49.55518945634267,0
2023,3,1751.0,2023-03-01,2023-03,0.16422872340425543,-0.15287856797290755,1426.3333333333333,1687.5,424.1713847448504,-0.35485653755814484,0,57.69357495881384,0
2023,4,1468.0,2023-04-01,2023-04,-0.1616219303255283,-0.4120945134160994,1574.3333333333333,1601.75,341.6255592418006,-0.41607000795544946,0,48.36902800658979,0
2023,5,1616.0,2023-05-01,2023-05,0.10081743869209814,-0.3120476798637718,1611.6666666666667,1540.6666666666667,248.78516958625343,-0.31936400968726963,0,53.245469522240526,0
2023,6,1721.0,2023-06-01,2023-06,0.06497524752475248,0.015938606847697656,1601.6666666666667,1542.9166666666667,250.41473175272287,-0.2489635609862535,0,56.705107084019765,0
2023,7,1657.0,2023-07-01,2023-07,-0.03718768158047647,-0.07739420935412022,1664.6666666666667,1531.3333333333333,240.66889111706027,-0.2987303506650544,0,54.596375617792425,0
2023,8,1718.0,2023-08-01,2023-08,0.03681351840675928,-0.09340369393139847,1698.6666666666667,1516.5833333333333,220.972420464774,-0.23881258307487818,0,56.60626029654037,0
2023,9,1556.0,2023-09-01,2023-09,-0.09429569266589055,0.21183800623052962,1643.6666666666667,1539.25,208.54697530554398,-0.19634029366191985,0,51.26853377265239,0
2023,10,1313.0,2023-10-01,2023-10,-0.15616966580976865,-0.06680881307746978,1529.0,1531.4166666666667,215.61179691681352,-0.3240917782026769,0,43.26194398682043,0
2023,11,1761.0,2023-11-01,2023-11,0.3412033511043413,0.03832547169811318,1543.3333333333333,1536.8333333333333,220.87463878998494,-0.2981667046230927,0,58.02306425041186,0
2023,12,1813.0,2023-12-01,2023-12,0.029528676888131766,0.3399852180339986,1629.0,1575.1666666666667,225.9287230052614,-0.27121855977948783,0,59.73640856672158,0
2024,1,1843.0,2024-01-01,2024-01,0.016547159404302292,0.7998046875,1805.6666666666667,1643.4166666666667,157.69213869454893,-0.24043068363299158,0,60.724876441515654,0
2024,2,1195.0,2024-02-01,2024-02,-0.35160065111231686,-0.20545212765957444,1617.0,1617.6666666666667,201.63393172837425,-0.3769551616266945,0,39.373970345963755,0
2024,3,1977.0,2024-03-01,2024-03,0.6543933054393305,0.12906910336950306,1671.6666666666667,1636.5,224.48020767177647,-0.27158844931607795,0,65.14003294892916,0
2024,4,1780.0,2024-04-01,2024-04,-0.09964592817400098,0.21253405994550412,1650.6666666666667,1662.5,221.23475807797115,-0.2919649960222752,0,58.6490939044481,0
2024,5,1639.0,2024-05-01,2024-05,-0.07921348314606746,0.0142326732673268,1798.6666666666667,1664.4166666666667,220.89465129264042,-0.30967674002316525,0,54.003294892915974,0
2024,6,1618.0,2024-06-01,2024-06,-0.01281269066503965,-0.059848925043579304,1679.0,1655.8333333333333,220.49689065353965,-0.293912284529784,0,53.31136738056013,0
2024,7,1682.0,2024-07-01,2024-07,0.0395550061804697,0.015087507543753764,1646.3333333333333,1657.9166666666667,220.6269819208779,-0.2881499395405078,0,55.42009884678748,0
2024,8,1709.0,2024-08-01,2024-08,0.016052318668252186,-0.005238649592549494,1669.6666666666667,1657.1666666666667,220.41936614031266,-0.2428001772264068,0,56.30971993410214,0
2024,9,1203.0,2024-09-01,2024-09,-0.29607957870099477,-0.2268637532133676,1531.3333333333333,1627.75,255.85511702737386,-0.3786615509481296,0,39.637561779242176,0
2024,10,1825.0,2024-10-01,2024-10,0.517040731504572,0.3899466869763899,1579.0,1670.4166666666667,240.8460309119933,-0.06052360641270782,0,60.13179571663921,0
2024,11,2205.0,2024-11-01,2024-11,0.2082191780821918,0.252129471890971,1744.3333333333333,1707.4166666666667,285.91494550059156,-0.12121384650421319,0,72.65238879736408,0
2024,12,2163.0,2024-12-01,2024-12,-0.01904761904761909,0.1930501930501931,2064.3333333333335,1736.5833333333333,314.12518012391007,-0.13052716205352022,0,71.26853377265239,0
2025,1,1952.0,2025-01-01,2025-01,-0.0975496994914471,0.05914270211611505,2106.6666666666665,1745.6666666666667,319.01990058568,-0.19550770181855648,0,64.31630971993411,1
2025,2,1632.0,2025-02-01,2025-02,-0.16393442622950816,0.3656903765690376,1915.6666666666667,1782.0833333333333,271.9095632854069,-0.1491136600625652,0,53.77265238879736,1
2025,3,2294.0,2025-03-01,2025-03,0.4056372549019607,0.1603439554881132,1959.3333333333333,1808.5,305.84829870081325,-0.1547920600561875,0,75.5848434925865,1
2025,4,2390.0,2025-04-01,2025-04,0.04184829991281602,0.3426966292134832,2105.3333333333335,1859.3333333333333,348.4115469679586,-0.04932378679395388,0,78.74794069192751,1
2025,5,2086.0,2025-05-01,2025-05,-0.1271966527196653,0.2727272727272727,2256.6666666666665,1896.5833333333333,346.6039023893341,-0.12140676002948303,0,68.73146622734761,1
2025,6,1985.0,2025-06-01,2025-06,-0.048418024928091996,0.22682323856613107,2153.6666666666665,1927.1666666666667,335.8113196785396,-0.13375518219506877,0,65.40362438220758,1
